panel	dataset	score
6d	Structural noncontact	0.996204
6d	Structural noncontact	0.000216
6d	Structural noncontact	0.85313
6d	Structural noncontact	0.999935
6d	Structural noncontact	0.340807
6d	Structural noncontact	0.999897
6d	Structural noncontact	0.999116
6d	Structural noncontact	0.999937
6d	Structural noncontact	0.999904
6d	Structural noncontact	0.999934
6d	Structural noncontact	0.348166
6d	Structural noncontact	0.057464
6d	Structural noncontact	0.001378
6d	Structural noncontact	0.999508
6d	Structural noncontact	0.781113
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.992591
6d	Structural noncontact	0.000365
6d	Structural noncontact	0.999837
6d	Structural noncontact	0.004933
6d	Structural noncontact	0.016563
6d	Structural noncontact	0.000132
6d	Structural noncontact	0.998917
6d	Structural noncontact	0.001633
6d	Structural noncontact	0.999049
6d	Structural noncontact	0.999638
6d	Structural noncontact	0.996652
6d	Structural noncontact	0.999937
6d	Structural noncontact	0.99387
6d	Structural noncontact	0.999912
6d	Structural noncontact	0.998913
6d	Structural noncontact	0.999926
6d	Structural noncontact	0.999925
6d	Structural noncontact	0.998579
6d	Structural noncontact	0.988289
6d	Structural noncontact	9.5e-05
6d	Structural noncontact	0.999563
6d	Structural noncontact	0.990834
6d	Structural noncontact	0.999882
6d	Structural noncontact	0.999243
6d	Structural noncontact	0.004339
6d	Structural noncontact	0.999885
6d	Structural noncontact	0.99738
6d	Structural noncontact	0.999307
6d	Structural noncontact	0.998142
6d	Structural noncontact	0.992322
6d	Structural noncontact	0.999873
6d	Structural noncontact	0.999887
6d	Structural noncontact	0.999832
6d	Structural noncontact	0.999934
6d	Structural noncontact	0.000274
6d	Structural noncontact	0.999756
6d	Structural noncontact	0.999932
6d	Structural noncontact	0.19868
6d	Structural noncontact	0.536282
6d	Structural noncontact	0.999778
6d	Structural noncontact	0.999909
6d	Structural noncontact	0.999882
6d	Structural noncontact	0.000148
6d	Structural noncontact	0.999885
6d	Structural noncontact	0.999114
6d	Structural noncontact	0.99888
6d	Structural noncontact	0.200897
6d	Structural noncontact	0.999901
6d	Structural noncontact	0.999826
6d	Structural noncontact	0.013832
6d	Structural noncontact	0.005892
6d	Structural noncontact	0.012059
6d	Structural noncontact	0.999735
6d	Structural noncontact	0.999923
6d	Structural noncontact	0.99723
6d	Structural noncontact	0.999535
6d	Structural noncontact	0.999635
6d	Structural noncontact	0.996984
6d	Structural noncontact	0.001083
6d	Structural noncontact	0.999096
6d	Structural noncontact	0.00332
6d	Structural noncontact	0.992924
6d	Structural noncontact	7.9e-05
6d	Structural noncontact	0.999664
6d	Structural noncontact	0.822854
6d	Structural noncontact	0.999832
6d	Structural noncontact	0.999145
6d	Structural noncontact	0.99973
6d	Structural noncontact	0.747042
6d	Structural noncontact	0.999946
6d	Structural noncontact	0.999808
6d	Structural noncontact	0.001755
6d	Structural noncontact	0.999856
6d	Structural noncontact	0.999942
6d	Structural noncontact	0.998913
6d	Structural noncontact	0.998061
6d	Structural noncontact	0.97517
6d	Structural noncontact	0.083233
6d	Structural noncontact	0.999502
6d	Structural noncontact	0.999043
6d	Structural noncontact	0.994651
6d	Structural noncontact	0.993447
6d	Structural noncontact	0.999948
6d	Structural noncontact	0.019943
6d	Structural noncontact	0.938969
6d	Structural noncontact	0.99988
6d	Structural noncontact	0.910237
6d	Structural noncontact	0.000334
6d	Structural noncontact	0.999927
6d	Structural noncontact	0.994878
6d	Structural noncontact	0.006362
6d	Structural noncontact	0.999827
6d	Structural noncontact	0.999397
6d	Structural noncontact	0.998892
6d	Structural noncontact	0.999894
6d	Structural noncontact	0.00017
6d	Structural noncontact	0.999921
6d	Structural noncontact	0.998078
6d	Structural noncontact	0.995763
6d	Structural noncontact	0.999196
6d	Structural noncontact	0.996007
6d	Structural noncontact	0.161803
6d	Structural noncontact	0.997925
6d	Structural noncontact	0.999929
6d	Structural noncontact	0.300245
6d	Structural noncontact	0.99767
6d	Structural noncontact	0.999748
6d	Structural noncontact	0.998347
6d	Structural noncontact	0.999938
6d	Structural noncontact	0.990172
6d	Structural noncontact	0.00518
6d	Structural noncontact	0.061553
6d	Structural noncontact	0.009664
6d	Structural noncontact	0.998683
6d	Structural noncontact	0.594204
6d	Structural noncontact	0.999677
6d	Structural noncontact	0.99931
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.999555
6d	Structural noncontact	0.999598
6d	Structural noncontact	0.005385
6d	Structural noncontact	0.999921
6d	Structural noncontact	0.999695
6d	Structural noncontact	0.004325
6d	Structural noncontact	0.99994
6d	Structural noncontact	0.999555
6d	Structural noncontact	0.99961
6d	Structural noncontact	0.999601
6d	Structural noncontact	0.99876
6d	Structural noncontact	0.055479
6d	Structural noncontact	0.85702
6d	Structural noncontact	0.001013
6d	Structural noncontact	0.997477
6d	Structural noncontact	0.000434
6d	Structural noncontact	0.999425
6d	Structural noncontact	0.707028
6d	Structural noncontact	0.999892
6d	Structural noncontact	8.1e-05
6d	Structural noncontact	0.017339
6d	Structural noncontact	0.318975
6d	Structural noncontact	0.042704
6d	Structural noncontact	0.0244
6d	Structural noncontact	0.994635
6d	Structural noncontact	0.056136
6d	Structural noncontact	0.999937
6d	Structural noncontact	0.999806
6d	Structural noncontact	0.000153
6d	Structural noncontact	0.998928
6d	Structural noncontact	0.998828
6d	Structural noncontact	0.281107
6d	Structural noncontact	0.999208
6d	Structural noncontact	0.996666
6d	Structural noncontact	0.999215
6d	Structural noncontact	0.997194
6d	Structural noncontact	0.907844
6d	Structural noncontact	0.99994
6d	Structural noncontact	0.198227
6d	Structural noncontact	0.999894
6d	Structural noncontact	0.999524
6d	Structural noncontact	0.004899
6d	Structural noncontact	0.016215
6d	Structural noncontact	0.287
6d	Structural noncontact	0.274952
6d	Structural noncontact	0.002457
6d	Structural noncontact	0.999131
6d	Structural noncontact	0.999457
6d	Structural noncontact	0.972429
6d	Structural noncontact	0.83404
6d	Structural noncontact	0.999923
6d	Structural noncontact	0.044703
6d	Structural noncontact	0.000535
6d	Structural noncontact	0.999863
6d	Structural noncontact	0.022239
6d	Structural noncontact	0.002684
6d	Structural noncontact	0.998942
6d	Structural noncontact	0.001805
6d	Structural noncontact	0.999913
6d	Structural noncontact	0.947644
6d	Structural noncontact	0.514209
6d	Structural noncontact	0.99987
6d	Structural noncontact	0.999918
6d	Structural noncontact	0.29625
6d	Structural noncontact	0.999914
6d	Structural noncontact	0.999744
6d	Structural noncontact	0.998563
6d	Structural noncontact	0.926797
6d	Structural noncontact	0.000237
6d	Structural noncontact	0.033227
6d	Structural noncontact	0.999784
6d	Structural noncontact	0.01177
6d	Structural noncontact	0.382396
6d	Structural noncontact	0.999941
6d	Structural noncontact	0.996679
6d	Structural noncontact	0.99994
6d	Structural noncontact	0.999862
6d	Structural noncontact	0.999938
6d	Structural noncontact	8.3e-05
6d	Structural noncontact	0.999943
6d	Structural noncontact	0.99861
6d	Structural noncontact	0.999669
6d	Structural noncontact	0.003839
6d	Structural noncontact	0.996767
6d	Structural noncontact	0.368435
6d	Structural noncontact	0.999213
6d	Structural noncontact	0.999652
6d	Structural noncontact	0.999858
6d	Structural noncontact	0.241103
6d	Structural noncontact	0.124415
6d	Structural noncontact	0.175356
6d	Structural noncontact	0.559034
6d	Structural noncontact	0.646342
6d	Structural noncontact	0.007847
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.000106
6d	Structural noncontact	0.999921
6d	Structural noncontact	0.999912
6d	Structural noncontact	0.979291
6d	Structural noncontact	0.999895
6d	Structural noncontact	0.999784
6d	Structural noncontact	7.4e-05
6d	Structural noncontact	0.999913
6d	Structural noncontact	0.999868
6d	Structural noncontact	0.974875
6d	Structural noncontact	0.998669
6d	Structural noncontact	0.768409
6d	Structural noncontact	0.013923
6d	Structural noncontact	0.01053
6d	Structural noncontact	0.999895
6d	Structural noncontact	0.999926
6d	Structural noncontact	0.996822
6d	Structural noncontact	0.999211
6d	Structural noncontact	0.099833
6d	Structural noncontact	0.922231
6d	Structural noncontact	0.988776
6d	Structural noncontact	0.022083
6d	Structural noncontact	0.00013
6d	Structural noncontact	0.999931
6d	Structural noncontact	0.999551
6d	Structural noncontact	0.999936
6d	Structural noncontact	0.99995
6d	Structural noncontact	0.999844
6d	Structural noncontact	0.999049
6d	Structural noncontact	0.999948
6d	Structural noncontact	0.997322
6d	Structural noncontact	0.99993
6d	Structural noncontact	0.99992
6d	Structural noncontact	0.527802
6d	Structural noncontact	0.999873
6d	Structural noncontact	0.963537
6d	Structural noncontact	0.999537
6d	Structural noncontact	0.00311
6d	Structural noncontact	0.998747
6d	Structural noncontact	0.376102
6d	Structural noncontact	0.097261
6d	Structural noncontact	0.520405
6d	Structural noncontact	0.977852
6d	Structural noncontact	0.999943
6d	Structural noncontact	0.004808
6d	Structural noncontact	0.999929
6d	Structural noncontact	0.999445
6d	Structural noncontact	0.010686
6d	Structural noncontact	0.999944
6d	Structural noncontact	0.999227
6d	Structural noncontact	0.999724
6d	Structural noncontact	0.301747
6d	Structural noncontact	0.63839
6d	Structural noncontact	0.999851
6d	Structural noncontact	0.998063
6d	Structural noncontact	0.998747
6d	Structural noncontact	0.022306
6d	Structural noncontact	0.949152
6d	Structural noncontact	0.999599
6d	Structural noncontact	0.998982
6d	Structural noncontact	0.999855
6d	Structural noncontact	0.989013
6d	Structural noncontact	0.03769
6d	Structural noncontact	0.201618
6d	Structural noncontact	0.999104
6d	Structural noncontact	0.996724
6d	Structural noncontact	0.99241
6d	Structural noncontact	0.999901
6d	Structural noncontact	0.999912
6d	Structural noncontact	0.999936
6d	Structural noncontact	0.002831
6d	Structural noncontact	0.999601
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.999868
6d	Structural noncontact	0.999916
6d	Structural noncontact	0.000316
6d	Structural noncontact	0.999918
6d	Structural noncontact	0.736199
6d	Structural noncontact	0.999432
6d	Structural noncontact	0.999898
6d	Structural noncontact	0.999679
6d	Structural noncontact	0.113991
6d	Structural noncontact	0.995012
6d	Structural noncontact	0.999825
6d	Structural noncontact	0.999728
6d	Structural noncontact	0.999096
6d	Structural noncontact	0.999914
6d	Structural noncontact	0.999928
6d	Structural noncontact	0.972788
6d	Structural noncontact	0.999947
6d	Structural noncontact	0.99877
6d	Structural noncontact	0.993579
6d	Structural noncontact	0.00029
6d	Structural noncontact	0.999912
6d	Structural noncontact	0.999924
6d	Structural noncontact	0.998274
6d	Structural noncontact	0.999912
6d	Structural noncontact	0.099411
6d	Structural noncontact	0.002949
6d	Structural noncontact	0.99756
6d	Structural noncontact	0.997929
6d	Structural noncontact	0.999941
6d	Structural noncontact	0.999886
6d	Structural noncontact	0.998683
6d	Structural noncontact	0.999805
6d	Structural noncontact	0.998757
6d	Structural noncontact	0.999909
6d	Structural noncontact	0.999443
6d	Structural noncontact	0.997143
6d	Structural noncontact	0.998461
6d	Structural noncontact	0.294097
6d	Structural noncontact	0.984088
6d	Structural noncontact	0.000723
6d	Structural noncontact	0.998339
6d	Structural noncontact	0.998502
6d	Structural noncontact	0.997777
6d	Structural noncontact	0.995354
6d	Structural noncontact	0.737504
6d	Structural noncontact	0.999503
6d	Structural noncontact	0.000172
6d	Structural noncontact	0.999916
6d	Structural noncontact	0.999746
6d	Structural noncontact	0.707071
6d	Structural noncontact	0.9982
6d	Structural noncontact	0.998658
6d	Structural noncontact	0.010415
6d	Structural noncontact	0.978777
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.999834
6d	Structural noncontact	0.996654
6d	Structural noncontact	0.999849
6d	Structural noncontact	0.000987
6d	Structural noncontact	0.999655
6d	Structural noncontact	0.023548
6d	Structural noncontact	7.4e-05
6d	Structural noncontact	0.999853
6d	Structural noncontact	5.1e-05
6d	Structural noncontact	0.999929
6d	Structural noncontact	0.999213
6d	Structural noncontact	0.006556
6d	Structural noncontact	0.791719
6d	Structural noncontact	0.209537
6d	Structural noncontact	0.998927
6d	Structural noncontact	0.99982
6d	Structural noncontact	0.999916
6d	Structural noncontact	0.005864
6d	Structural noncontact	0.202335
6d	Structural noncontact	0.999881
6d	Structural noncontact	0.99909
6d	Structural noncontact	0.999954
6d	Structural noncontact	0.000233
6d	Structural noncontact	0.999934
6d	Structural noncontact	0.999907
6d	Structural noncontact	0.809941
6d	Structural noncontact	0.992526
6d	Structural noncontact	0.999906
6d	Structural noncontact	0.999917
6d	Structural noncontact	0.000164
6d	Structural noncontact	0.940462
6d	Structural noncontact	0.999935
6d	Structural noncontact	0.998992
6d	Structural noncontact	0.999938
6d	Structural noncontact	0.000322
6d	Structural noncontact	0.998674
6d	Structural noncontact	0.999856
6d	Structural noncontact	0.971822
6d	Structural noncontact	0.999802
6d	Structural noncontact	0.752072
6d	Structural noncontact	0.08832
6d	Structural noncontact	0.000861
6d	Structural noncontact	0.999672
6d	Structural noncontact	0.000191
6d	Structural noncontact	0.997542
6d	Structural noncontact	0.999928
6d	Structural noncontact	0.434379
6d	Structural noncontact	0.999914
6d	Structural noncontact	0.971969
6d	Structural noncontact	0.999539
6d	Structural noncontact	0.075875
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.002962
6d	Structural noncontact	0.992382
6d	Structural noncontact	0.002553
6d	Structural noncontact	0.996694
6d	Structural noncontact	0.999309
6d	Structural noncontact	0.999923
6d	Structural noncontact	0.999731
6d	Structural noncontact	0.99984
6d	Structural noncontact	0.062937
6d	Structural noncontact	0.710993
6d	Structural noncontact	0.991476
6d	Structural noncontact	0.999856
6d	Structural noncontact	0.559568
6d	Structural noncontact	0.999941
6d	Structural noncontact	0.823594
6d	Structural noncontact	0.002852
6d	Structural noncontact	0.999368
6d	Structural noncontact	0.018521
6d	Structural noncontact	0.969068
6d	Structural noncontact	0.999803
6d	Structural noncontact	0.999943
6d	Structural noncontact	0.01034
6d	Structural noncontact	0.999415
6d	Structural noncontact	0.985924
6d	Structural noncontact	0.999927
6d	Structural noncontact	0.999854
6d	Structural noncontact	0.000306
6d	Structural noncontact	0.31885
6d	Structural noncontact	0.463758
6d	Structural noncontact	0.000814
6d	Structural noncontact	0.303712
6d	Structural noncontact	0.963283
6d	Structural noncontact	0.999917
6d	Structural noncontact	0.000916
6d	Structural noncontact	0.007095
6d	Structural noncontact	0.286168
6d	Structural noncontact	0.006082
6d	Structural noncontact	0.999082
6d	Structural noncontact	0.999706
6d	Structural noncontact	0.189634
6d	Structural noncontact	0.996089
6d	Structural noncontact	0.999726
6d	Structural noncontact	0.00198
6d	Structural noncontact	7.2e-05
6d	Structural noncontact	0.313668
6d	Structural noncontact	0.999414
6d	Structural noncontact	7.5e-05
6d	Structural noncontact	0.999844
6d	Structural noncontact	0.999907
6d	Structural noncontact	0.999679
6d	Structural noncontact	0.001156
6d	Structural noncontact	0.627629
6d	Structural noncontact	0.99991
6d	Structural noncontact	0.983509
6d	Structural noncontact	0.999797
6d	Structural noncontact	0.737911
6d	Structural noncontact	0.997363
6d	Structural noncontact	0.026183
6d	Structural noncontact	0.542207
6d	Structural noncontact	0.988015
6d	Structural noncontact	0.218938
6d	Structural noncontact	0.999925
6d	Structural noncontact	0.999456
6d	Structural noncontact	0.507796
6d	Structural noncontact	0.990343
6d	Structural noncontact	0.999879
6d	Structural noncontact	0.999795
6d	Structural noncontact	0.423186
6d	Structural noncontact	0.142726
6d	Structural noncontact	0.999927
6d	Structural noncontact	0.999923
6d	Structural noncontact	0.006824
6d	Structural noncontact	0.214431
6d	Structural noncontact	0.99943
6d	Structural noncontact	0.999074
6d	Structural noncontact	0.999942
6d	Structural noncontact	0.237953
6d	Structural noncontact	0.000919
6d	Structural noncontact	0.999941
6d	Structural noncontact	0.991829
6d	Structural noncontact	0.999599
6d	Structural noncontact	0.010291
6d	Structural noncontact	0.999937
6d	Structural noncontact	0.000635
6d	Structural noncontact	0.999931
6d	Structural noncontact	0.058666
6d	Structural noncontact	0.99994
6d	Structural noncontact	0.999952
6d	Structural noncontact	0.999462
6d	Structural noncontact	0.919961
6d	Structural noncontact	0.99994
6d	Structural noncontact	0.99993
6d	Structural noncontact	0.999928
6d	Structural noncontact	0.999894
6d	Structural noncontact	0.030163
6d	Structural noncontact	0.949838
6d	Structural noncontact	0.000609
6d	Structural noncontact	0.998095
6d	Structural noncontact	0.9982
6d	Structural noncontact	0.999841
6d	Structural noncontact	0.999161
6d	Structural noncontact	0.980682
6d	Structural noncontact	0.999327
6d	Structural noncontact	0.998909
6d	Structural noncontact	0.954505
6d	Structural noncontact	0.999936
6d	Structural noncontact	0.999912
6d	Structural noncontact	0.999759
6d	Structural noncontact	0.001602
6d	Structural noncontact	0.700506
6d	Structural noncontact	0.913089
6d	Structural noncontact	0.999943
6d	Structural noncontact	0.700789
6d	Structural noncontact	0.946447
6d	Structural noncontact	0.00049
6d	Structural noncontact	0.992981
6d	Structural noncontact	0.99298
6d	Structural noncontact	0.008792
6d	Structural noncontact	0.99744
6d	Structural noncontact	0.99991
6d	Structural noncontact	0.625522
6d	Structural noncontact	0.999868
6d	Structural noncontact	0.611113
6d	Structural noncontact	0.415662
6d	Structural noncontact	0.999081
6d	Structural noncontact	0.999911
6d	Structural noncontact	0.97699
6d	Structural noncontact	0.999629
6d	Structural noncontact	0.191654
6d	Structural noncontact	7.1e-05
6d	Structural noncontact	0.999423
6d	Structural noncontact	0.998772
6d	Structural noncontact	0.619464
6d	Structural noncontact	0.999272
6d	Structural noncontact	0.997193
6d	Structural noncontact	0.999446
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.999901
6d	Structural noncontact	0.999527
6d	Structural noncontact	0.999931
6d	Structural noncontact	0.179876
6d	Structural noncontact	0.999809
6d	Structural noncontact	0.997989
6d	Structural noncontact	0.992623
6d	Structural noncontact	0.014284
6d	Structural noncontact	0.980969
6d	Structural noncontact	0.999577
6d	Structural noncontact	0.999823
6d	Structural noncontact	0.000185
6d	Structural noncontact	0.999457
6d	Structural noncontact	0.939201
6d	Structural noncontact	0.016379
6d	Structural noncontact	0.9999
6d	Structural noncontact	0.998306
6d	Structural noncontact	0.999862
6d	Structural noncontact	0.991347
6d	Structural noncontact	0.869428
6d	Structural noncontact	0.999822
6d	Structural noncontact	0.077948
6d	Structural noncontact	0.993812
6d	Structural noncontact	0.000319
6d	Structural noncontact	0.00342
6d	Structural noncontact	0.999922
6d	Structural noncontact	0.999319
6d	Structural noncontact	0.007054
6d	Structural noncontact	0.00039
6d	Structural noncontact	0.999817
6d	Structural noncontact	0.999606
6d	Structural noncontact	0.999408
6d	Structural noncontact	0.999915
6d	Structural noncontact	0.997704
6d	Structural noncontact	0.999944
6d	Structural noncontact	0.000214
6d	Structural noncontact	0.99708
6d	Structural noncontact	0.999871
6d	Structural noncontact	0.979024
6d	Structural noncontact	0.99952
6d	Structural noncontact	0.995793
6d	Structural noncontact	0.999049
6d	Structural noncontact	0.999493
6d	Structural noncontact	0.116393
6d	Structural noncontact	0.999935
6d	Structural noncontact	0.997646
6d	Structural noncontact	0.999792
6d	Structural noncontact	0.999607
6d	Structural noncontact	0.007162
6d	Structural noncontact	0.999845
6d	Structural noncontact	0.000275
6d	Structural noncontact	0.99991
6d	Structural noncontact	0.999482
6d	Structural noncontact	0.629013
6d	Structural noncontact	0.999937
6d	Structural noncontact	0.99277
6d	Structural noncontact	0.999089
6d	Structural noncontact	0.999914
6d	Structural noncontact	0.999654
6d	Structural noncontact	0.011365
6d	Structural noncontact	0.999945
6d	Structural noncontact	0.295257
6d	Structural noncontact	0.978119
6d	Structural noncontact	0.999722
6d	Structural noncontact	6.2e-05
6d	Structural noncontact	0.997066
6d	Structural noncontact	0.99829
6d	Structural noncontact	0.144812
6d	Structural noncontact	0.999423
6d	Structural noncontact	0.656509
6d	Structural noncontact	0.988757
6d	Structural noncontact	0.999941
6d	Structural noncontact	0.999605
6d	Structural noncontact	0.999934
6d	Structural noncontact	0.00121
6d	Structural noncontact	0.999175
6d	Structural noncontact	0.996716
6d	Structural noncontact	0.000411
6d	Structural noncontact	0.997776
6d	Structural noncontact	0.998984
6d	Structural noncontact	0.999852
6d	Structural noncontact	0.003528
6d	Structural noncontact	0.999613
6d	Structural noncontact	0.009952
6d	Structural noncontact	0.850174
6d	Structural noncontact	0.549795
6d	Structural noncontact	0.997546
6d	Structural noncontact	0.999431
6d	Structural noncontact	0.592457
6d	Structural noncontact	0.999889
6d	Structural noncontact	0.987814
6d	Structural noncontact	0.992402
6d	Structural noncontact	0.99946
6d	Structural noncontact	6.3e-05
6d	Structural noncontact	0.476966
6d	Structural noncontact	0.109576
6d	Structural noncontact	0.997521
6d	Structural noncontact	0.001645
6d	Structural noncontact	0.867348
6d	Structural noncontact	0.999014
6d	Structural noncontact	0.880351
6d	Structural noncontact	0.003991
6d	Structural noncontact	0.999923
6d	Structural noncontact	0.999734
6d	Structural noncontact	0.538544
6d	Structural noncontact	0.00015
6d	Structural noncontact	0.995389
6d	Structural noncontact	0.030953
6d	Structural noncontact	0.998556
6d	Structural noncontact	0.301215
6d	Structural noncontact	0.999897
6d	Structural noncontact	0.000567
6d	Structural noncontact	0.99992
6d	Structural noncontact	0.999867
6d	Structural noncontact	0.016302
6d	Structural noncontact	0.138187
6d	Structural noncontact	0.011705
6d	Structural noncontact	0.999642
6d	Structural noncontact	0.999103
6d	Structural noncontact	0.99969
6d	Structural noncontact	0.998084
6d	Structural noncontact	0.998285
6d	Structural noncontact	0.969891
6d	Structural noncontact	0.999768
6d	Structural noncontact	0.00109
6d	Structural noncontact	0.955445
6d	Structural noncontact	0.999936
6d	Structural noncontact	0.002688
6d	Structural noncontact	0.016551
6d	Structural noncontact	0.999901
6d	Structural noncontact	0.016288
6d	Structural noncontact	0.000818
6d	Structural noncontact	0.999822
6d	Structural noncontact	0.966371
6d	Structural noncontact	0.994943
6d	Structural noncontact	0.00055
6d	Structural noncontact	0.29733
6d	Structural noncontact	0.850738
6d	Structural noncontact	0.098737
6d	Structural noncontact	0.005494
6d	Structural noncontact	0.999779
6d	Structural noncontact	0.999922
6d	Structural noncontact	0.067339
6d	Structural noncontact	0.018628
6d	Structural noncontact	0.999925
6d	Structural noncontact	0.999942
6d	Structural noncontact	0.999944
6d	Structural noncontact	0.997986
6d	Structural noncontact	0.000783
6d	Structural noncontact	0.728931
6d	Structural noncontact	0.999911
6d	Structural noncontact	0.002738
6d	Structural noncontact	0.921304
6d	Structural noncontact	0.999882
6d	Structural noncontact	0.002702
6d	Structural noncontact	0.999928
6d	Structural noncontact	0.998457
6d	Structural noncontact	0.999799
6d	Structural noncontact	0.999329
6d	Structural noncontact	0.999037
6d	Structural noncontact	0.58787
6d	Structural noncontact	0.999773
6d	Structural noncontact	0.420297
6d	Structural noncontact	0.999933
6d	Structural noncontact	0.999658
6d	Structural noncontact	0.038093
6d	Structural noncontact	0.933491
6d	Structural noncontact	0.004055
6d	Structural noncontact	0.999745
6d	Structural noncontact	0.001057
6d	Structural noncontact	0.9999
6d	Structural noncontact	0.001337
6d	Structural noncontact	0.000406
6d	Structural noncontact	0.999499
6d	Structural noncontact	0.99591
6d	Structural noncontact	0.995145
6d	Structural noncontact	0.999554
6d	Structural noncontact	0.999948
6d	Structural noncontact	0.000119
6d	Structural noncontact	0.99989
6d	Structural noncontact	0.9643
6d	Structural noncontact	0.000193
6d	Structural noncontact	0.011444
6d	Structural noncontact	0.999944
6d	Structural noncontact	0.000766
6d	Structural noncontact	0.000106
6d	Structural noncontact	0.271751
6d	Structural noncontact	0.99931
6d	Structural noncontact	0.996551
6d	Structural noncontact	0.0006
6d	Structural noncontact	0.047754
6d	Structural noncontact	0.987986
6d	Structural noncontact	0.999474
6d	Structural noncontact	0.999835
6d	Structural noncontact	0.99962
6d	Structural noncontact	0.001656
6d	Structural noncontact	0.999389
6d	Structural noncontact	0.013401
6d	Structural noncontact	0.988539
6d	Structural noncontact	0.059638
6d	Structural noncontact	0.735984
6d	Structural noncontact	0.999717
6d	Structural noncontact	0.101584
6d	Structural noncontact	0.998647
6d	Structural noncontact	0.999938
6d	Structural noncontact	0.036179
6d	Structural noncontact	0.999921
6d	Structural noncontact	8.2e-05
6d	Structural noncontact	0.999084
6d	Structural noncontact	0.999834
6d	Structural noncontact	0.999941
6d	Structural noncontact	0.483027
6d	Structural noncontact	0.999932
6d	Structural noncontact	0.000326
6d	Structural noncontact	0.983249
6d	Structural noncontact	0.999831
6d	Structural noncontact	0.897135
6d	Structural noncontact	0.0013
6d	Structural noncontact	0.026229
6d	Structural noncontact	0.016458
6d	Structural noncontact	0.998939
6d	Structural noncontact	0.000445
6d	Structural noncontact	0.999808
6d	Structural noncontact	0.00036
6d	Structural noncontact	0.999037
6d	Structural noncontact	0.731248
6d	Structural noncontact	0.999622
6d	Structural noncontact	0.999718
6d	Structural noncontact	0.999542
6d	Structural noncontact	0.998814
6d	Structural noncontact	0.002514
6d	Structural noncontact	0.99962
6d	Structural noncontact	0.999932
6d	Structural noncontact	0.999589
6d	Structural noncontact	0.999945
6d	Structural noncontact	0.012429
6d	Structural noncontact	0.999579
6d	Structural noncontact	0.999578
6d	Structural noncontact	0.999787
6d	Structural noncontact	0.999857
6d	Structural noncontact	0.779359
6d	Structural noncontact	0.004063
6d	Structural noncontact	0.001742
6d	Structural noncontact	0.990084
6d	Structural noncontact	0.997291
6d	Structural noncontact	0.999923
6d	Structural noncontact	0.013035
6d	Structural noncontact	0.999937
6d	Structural noncontact	0.030599
6d	Structural noncontact	0.999908
6d	Structural noncontact	0.996833
6d	Structural noncontact	0.014438
6d	Structural noncontact	0.999913
6d	Structural noncontact	0.999896
6d	Structural noncontact	0.02879
6d	Structural noncontact	0.05163
6d	Structural noncontact	0.008821
6d	Structural noncontact	0.999684
6d	Structural noncontact	0.999939
6d	Structural noncontact	0.999699
6d	Structural noncontact	0.99943
6d	Structural noncontact	0.999863
6d	Structural noncontact	0.999783
6d	Structural noncontact	0.691589
6d	Structural noncontact	0.999879
6d	Structural noncontact	0.940133
6d	Structural noncontact	0.999917
6d	Structural noncontact	0.999889
6d	Structural noncontact	0.997458
6d	Structural noncontact	0.989449
6d	Structural noncontact	0.999743
6d	Structural noncontact	0.035257
6d	Structural noncontact	0.009381
6d	Structural noncontact	0.999944
6d	Structural noncontact	0.021671
6d	Structural noncontact	0.190529
6d	Structural noncontact	0.965303
6d	Structural noncontact	0.002688
6d	Structural noncontact	0.999781
6d	Structural noncontact	0.998684
6d	Structural noncontact	0.99965
6d	Structural noncontact	0.055013
6d	Structural noncontact	0.981109
6d	Structural noncontact	0.999939
6d	Structural noncontact	0.021528
6d	Structural noncontact	0.998039
6d	Structural noncontact	0.952723
6d	Structural noncontact	0.865062
6d	Structural noncontact	0.999896
6d	Structural noncontact	0.999909
6d	Structural noncontact	0.125639
6d	Structural noncontact	0.999733
6d	Structural noncontact	0.999947
6d	Structural noncontact	0.996427
6d	Structural noncontact	0.999917
6d	Structural noncontact	0.999943
6d	Structural noncontact	0.999943
6d	Structural noncontact	0.928161
6d	Structural noncontact	0.865218
6d	Structural noncontact	0.009174
6d	Structural noncontact	0.772264
6d	Structural noncontact	0.535653
6d	Structural noncontact	0.999889
6d	Structural noncontact	0.999906
6d	Structural noncontact	0.999915
6d	Structural noncontact	0.996603
6d	Structural noncontact	0.999917
6d	Structural noncontact	0.001758
6d	Structural noncontact	0.999944
6d	Structural noncontact	0.999907
6d	Structural noncontact	0.999795
6d	Structural noncontact	0.999912
6d	Structural noncontact	0.001102
6d	Structural noncontact	0.989981
6d	Structural noncontact	0.947847
6d	Structural noncontact	0.999682
6d	Structural noncontact	0.998637
6d	Structural noncontact	0.999627
6d	Structural noncontact	0.999925
6d	Structural noncontact	0.980573
6d	Structural noncontact	0.999921
6d	Structural noncontact	0.996988
6d	Structural noncontact	0.999678
6d	Structural noncontact	0.999936
6d	Structural noncontact	0.999719
